sample_id,a1_assignment,a1_species,a1_clade,genbank_label_original,genbank_species,match_status,voucher,locality,country,lat,lon,voucher_status,notes_on_identity,source
ZJPH05,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPH05,"Zhejiang, China",China,30.6396,121.0488,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
Jp1,Fejervarya sakishimensis,Fejervarya sakishimensis,,Fejervarya sakishimensis,Fejervarya sakishimensis,match,Jp1,"Iriomote Island, Japan",Japan,24.33,123.8,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Kotaki et al. (2010)
CAS 235484,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,CAS 235484,Krung Thep Mahanakhon (Bangkok),Thailand,"
13.7563",100.5018,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Koehler et al. (2019)
CAS 215116,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,CAS 215116,"Shanjiang village, just S of Liuku, Yunnan",China,25.85,98.85,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Koehler et al. (2019)
CAS 228131,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,CAS 228131,"Shanjiang village, just S of Liuku, Yunnan",China,25.85,98.85,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Koehler et al. (2019)
CAS 228129,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,CAS 228129,"Liuku bridge, Yunnan",China,25.8435,98.8565,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Koehler et al. (2019)
CAS 230367,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,CAS 230367,"Township, Pidaung Wildlife Sanctuary, near Ma-Li-Hka Village",Verified,27.6,97.25,GPS is not available but vouchers were cross-checked against their original published sources,Koehler et al. (2019),
CAS 234814,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,CAS 234814,"Chin: Kanpatlat Township, in Kanpatlat",Myanmar,21.19,94.03,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Koehler et al. (2019)
CAS 234815,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,CAS 234815,"Chin: Kanpatlat Township, in Kanpatlat",Myanmar,21.19,94.03,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Koehler et al. (2019)
CAS 235276,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,CAS 235276,"Kanpatlat Township, Let Mon Village",Myanmar,21.19,94.03,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Kotaki et al. (2010)
SMF 104127,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,SMF 104127,"Mae Hong Son, Pangmapha, Ban Soppong",Thailand,"
19.57",98.28,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Kotaki et al. (2010)
Thai-1,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,Thai-1,Ranong,Thailand,"
9.96",98.63,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Kotaki et al. (2010)
Thai-2,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,Thai-2,Tha Ton,Thailand,20.03,99.18,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Kotaki et al. (2010)
Thai-3,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,Thai-3,Mae Hong Son,Thailand,19.3,97.97,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Koehler et al. (2019)
Thai-4,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,Thai-4,Nakhon Si Thammarat,Thailand,8.43,99.96,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Koehler et al. (2019)
SMF 104128,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,SMF 104128,"Mae Hong Son, Pangmapha, Ban Soppong",Thailand,19.57,98.28,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Koehler et al. (2019)
SMF 104131,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,SMF 104131,"Pangmapha, near Ban Nam Rin, Thailand",Thailand,19.6,98.3,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Koehler et al. (2019)
SMF 105119,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,SMF 105119,"Ridge north of viewpoint between Pangmapha and Pai, Thailand",Thailand,19.46,98.33,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Ziegler et al. (2000)
SMF 105120,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,SMF 105120,"Ridge north of viewpoint between Pangmapha and Pai, Thailand",Thailand,19.46,98.33,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Ziegler et al. (2000)
SMF 105121,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,SMF 105121,"Pangmapha district, at NamLang River, Thailand",Thailand,19.58,98.26,Verified,GPS is not available but vouchers were cross-checked against their original published sources,"Miller et al. (2022), unpublished"
TZ25,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,TZ25,North Vietnam,Vietnam,21.5,105.8,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Grosjean et al. (2015)
TZ98105,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,TZ98105,North Vietnam,Vietnam,21.5,105.8,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Grosjean et al. (2015)
sample_100,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,,"Northern Karsh forest, Vietnam",Vietnam,22.8,105,Verified,GPS is not available but vouchers were cross-checked against their original published sources,Grosjean et al. (2015)
1999.5721,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,1999.5721,"Lao Cai, Sapa",Vietnam,22.3167,103.7833,Verified,Location and vouchers were cross-checked against their original published sources,Grosjean et al. (2015)
2004.0208,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,2004.0208,"Phongsali, Buon Tai, Laos",Laos,21.3833,101.9667,Verified,Location and vouchers were cross-checked against their original published sources,Grosjean et al. (2015)
2004.0309,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,2004.0309,"Phongsali, Nathen, Laos",Laos,21.4,101.9667,Verified,Location and vouchers were cross-checked against their original published sources,Grosjean et al. (2015)
2006.2411,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,2006.2411,"Louangphrabang, Ban Sop Khao",Laos,19.88,102.16,Verified,Location and vouchers were cross-checked against their original published sources,Grosjean et al. (2015)
K3037,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,K3037,"Chiang Mai, Doi Chiang Dao",Thailand,19.4,98.93,Verified,Location and vouchers were cross-checked against their original published sources,Grosjean et al. (2015)
K3085,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,match,K3085,"Louangphrabang, Ban Sop Khao",Laos,19.88,102.16,Verified,Location and vouchers were cross-checked against their original published sources,Grosjean et al. (2015)
FM_HN_01,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,FM_HN_01,Northern Chinese Mainland,China,36.5,112.5,Verified,"Precise locality unavailable, broadly assigned as Northern China (likely mainland), from original source of depositor","Wang et al. (2016), direct submission"
FM_HN_02,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,FM_HN_02,Northern Chinese Mainland,China,36.5,112.5,Verified,"Precise locality unavailable, broadly assigned as Northern China (likely mainland), from original source of depositor","Wang et al. (2016), direct submission"
FM_HN_03,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,FM_HN_03,Northern Chinese Mainland,China,36.5,112.5,Verified,"Precise locality unavailable, broadly assigned as Northern China (likely mainland), from original source of depositor","Wang et al. (2016), direct submission"
FM_HN_04,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,FM_HN_04,Northern Chinese Mainland,China,36.5,112.5,Verified,"Precise locality unavailable, broadly assigned as Northern China (likely mainland), from original source of depositor","Wang et al. (2016), direct submission"
FM_HN_05,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,FM_HN_05,Northern Chinese Mainland,China,36.5,112.5,Verified,"Precise locality unavailable, broadly assigned as Northern China (likely mainland), from original source of depositor","Wang et al. (2016), direct submission"
FM_HN_06,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,FM_HN_06,Northern Chinese Mainland,China,36.5,112.5,Verified,"Precise locality unavailable, broadly assigned as Northern China (likely mainland), from original source of depositor","Wang et al. (2016), direct submission"
FM_HN_07,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,FM_HN_07,Northern Chinese Mainland,China,36.5,112.5,Verified,"Precise locality unavailable, broadly assigned as Northern China (likely mainland), from original source of depositor","Wang et al. (2016), direct submission"
FM_HN_08,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,FM_HN_08,Northern Chinese Mainland,China,36.5,112.5,Verified,"Precise locality unavailable, broadly assigned as Northern China (likely mainland), from original source of depositor","Wang et al. (2016), direct submission"
FM_HN_09,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,FM_HN_09,Northern Chinese Mainland,China,36.5,112.5,Verified,"Precise locality unavailable, broadly assigned as Northern China (likely mainland), from original source of depositor","Wang et al. (2016), direct submission"
FM_HN_10,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,FM_HN_10,Northern Chinese Mainland,China,36.5,112.5,Verified,"Precise locality unavailable, broadly assigned as Northern China (likely mainland), from original source of depositor","Wang et al. (2016), direct submission"
MZ44_MZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,MZ44_MZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1113_BZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1113_BZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1121_BZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1121_BZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_13111_MZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_13111_MZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1317_MZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1317_MZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1343_MZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1343_MZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1345_MZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1345_MZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1346_MZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1346_MZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1516a_MT,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1516a_MT,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1527_MZH,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1527_MZH,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1611b_BBY,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1611b_BBY,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1621_BBY,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1621_BBY,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1622b_BBY,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1622b_BBY,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1643b_BBY,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1643b_BBY,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1646b_BBY,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1646b_BBY,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1819b_DP,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1819b_DP,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_1826_DP,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_1826_DP,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_BBY29_BBY,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_BBY29_BBY,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_BHQ07_DT,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_BHQ07_DT,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_BHQ12_DT,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_BHQ12_DT,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_BHQ14_DT,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_BHQ14_DT,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_BZ09_BZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_BZ09_BZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_BZ10_BZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_BZ10_BZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_BZ13_BZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_BZ13_BZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_BZ23_BZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_BZ23_BZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_DL01_DL,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_DL01_DL,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_DL02_DL,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_DL02_DL,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_DL03_DL,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_DL03_DL,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_DL11_DL,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_DL11_DL,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_DL17_DL,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_DL17_DL,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_DL18_DL,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_DL18_DL,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_DT12_DT,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_DT12_DT,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_DT2_DT,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_DT2_DT,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_DT5_DT,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_DT5_DT,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_DT8_DT,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_DT8_DT,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_HS14_HS,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_HS14_HS,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_HS16_HS,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_HS16_HS,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_HS17_HS,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_HS17_HS,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_MT02_MT,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_MT02_MT,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_MT09_MT,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_MT09_MT,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_MT10_MT,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_MT10_MT,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_MT13_MT,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_MT13_MT,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_MT16_MT,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_MT16_MT,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_MT18_MT,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_MT18_MT,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_MZ01_MZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_MZ01_MZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_MZ04_MZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_MZ04_MZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_MZ06_MZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_MZ06_MZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_MZ09_MZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_MZ09_MZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_MZ10_MZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_MZ10_MZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
_ZWc_MZ11_MZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,_ZWc_MZ11_MZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_MZ13_MZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_MZ13_MZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
ZWc_MZ14_MZ,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya multistriata,Fejervarya multistriata,mismatch,ZWc_MZ14_MZ,"Chongming, Shanghai",China,31.63,121.45,Verified,Voucher verified with locality name in GenBank metadata (no coordinates available),"Ding and Chen (2021), direct submission"
