sample_id,genbank_species,a1_assignment,a1_species,a1_clade,country,locality,match_status,source
ZWc_MT02_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MT09_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MT10_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MT13_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MT16_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MT18_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZ01_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZ04_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZ06_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZ09_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZ10_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
_ZWc_MZ11_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZ13_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZ14_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZ15_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZ16_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZ21_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZ22_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZ23_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZ26_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZ30_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_MZH15_MZH,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_QJX26_QXJ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_QJX31_QXJ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_QXJ37_QXJ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_QXJ46_QXJ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1102_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1103_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1117_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1135_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1211_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1215_DP,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1231_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1244_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1339_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1343_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1515_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1516_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1525_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1548a_MZH,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1613_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1617b_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1619b_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1621b_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1634_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1641b_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1642b_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1647b_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1813b_DP,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1814_DP,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1814b_DP,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1818_DP,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1818b_DP,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1819sb_DP,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1842_DP,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdBBY09_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdBBY29_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdBZ03_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdBZ18_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdBZ22_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdCX03_CX,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdCX16_CX,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdCXD1033_CX,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdDL01_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdDL04_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdDL06_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdDL07_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdDL09_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdDL14_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdDL15_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdDL17_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdDL18_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdDP12_DP,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdDP18_DP,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdDT2_DT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdHS001_HS,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdHS037_HS,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdHS12_HS,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdHS17_HS,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMT02_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMT03_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMT08_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMT09_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMT13_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMT18_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMZ06_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMZ11_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMZ13_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMZ14_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMZ26_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMZ30_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMZ32_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMZ35_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMZ46_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMZ47_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMZH04_MZH,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMZH09_MZH,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMZH16_MZH,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdQXJ43_QXJ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWd1819_DP,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdBHQ06_DT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWdMZ36_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
15083,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,"Taiwan Province, Taichung City, Taichung",mismatch,Jang-Liaw and Chao (2008)
17691,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,"Lienchiang County, Nangan Township, Fuwoling, Taiwan",mismatch,Jang-Liaw and Chao (2008)
17744,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,"New Taipei City, Shimen District, Jutsao",mismatch,Jang-Liaw and Chao (2008)
17620,Fejervarya limnocharis,Fejervarya multistriata (Clade I),Fejervarya multistriata,Clade I,China,"Guangdong, Shaoguan City, Juyuan County, Tianjingshan Forestry Station",mismatch,Jang-Liaw and Chao (2008)
17674,Fejervarya limnocharis,Fejervarya multistriata (Clade I),Fejervarya multistriata,Clade I,China,"Fujian, Xiamen City, Xiamen University",mismatch,Jang-Liaw and Chao (2008)
18178,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,"Pintung County, Jiadung Township, Hsiaputou",mismatch,Jang-Liaw and Chao (2008)
18238,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,"Yilan County, Toucheng Township, Toucheng",mismatch,Jang-Liaw and Chao (2008)
JL73-2-1,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,"Yilan County, Nan-ao",mismatch,Jang-Liaw and Chao (2008)
JL73-2-2,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,"Yilan County, Nan-ao",mismatch,Jang-Liaw and Chao (2008)
JL106,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,"Tainan City, Liouying",mismatch,Jang-Liaw and Chao (2008)
JL66-2,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,"Taiwan Province, Pingtung County, Sandimen",mismatch,Grosjean et al. (2015)
JL-19-2,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,"Hualien County, Shoufeng Township",mismatch,Jang-Liaw and Chao (2008)
G024,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,China,"Hainan Island, China",match,Jang-Liaw and Chao (2008)
JL02-1,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Japan,"Chubu, Shizuoka Prefecture, Central",match,Grosjean et al. (2015)
NMNSF15460,Fejervarya multistriata,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Taiwan,"Pingtung County, Manjhou Township, Chiupeng",mismatch,Djong et al. (2007)
fm1,Fejervarya multistriata,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,China,"N/a, but original depositor is from Xian",mismatch,"Wang et al. (2021), direct submission"
TAD-P992,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Thailand,"Phangnga, Namtok Raman Forest Park",match,"Chang and Liu (2010), direct submission"
USNM:Herp:595381,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Vietnam,south central extent of Trang An Landscape Complex,match,"Miller et al. (2022), direct submission"
USNM:Herp:595383,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Vietnam,"Du Gia Forest, Bac Me, 3.2 km of Khau Ca Reserve (straight-line distance)",match,"Miller et al. (2022), direct submission"
H001,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,Taiwan Island,mismatch,Yang et al. (2023)
H002,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,Taiwan Island,mismatch,Yang et al. (2023)
H005,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,Taiwan Island,mismatch,Yang et al. (2023)
H011,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,Taiwan Island,mismatch,Yang et al. (2023)
H012,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,Taiwan Island,mismatch,Jiang et al. (2020)
H013,Fejervarya limnocharis,Fejervarya multistriata (Clade II),Fejervarya multistriata,Clade II,Taiwan,Taiwan Island,mismatch,Jiang et al. (2020)
GZBY01,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,Guangzhou,mismatch,Ding and Chen (2021)
GZBY02,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,Guangzhou,mismatch,Ding and Chen (2021)
GZBY04,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,Guangzhou,mismatch,ren et al. (2009)
GZBY05,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,Guangzhou,mismatch,Kotaki et al. (2010)
mtDNA,Fejervarya multistriata,Fejervarya multistriata (Clade I),Fejervarya multistriata,Clade I,China,"Santai County, Mianyang City, Sichuan",match,"Kung et al. (2008), direct submission"
ZWd1339,Fejervarya multistriata,Fejervarya multistriata (Clade I),Fejervarya multistriata,Clade I,China,"Chongming, Shanghai",match,Kurniawan et al. (2010)
MZ44_MZ,Fejervarya multistriata,Fejervarya multistriata (Clade I),Fejervarya multistriata,Clade I,China,"Chongming, Shanghai",match,Kurniawan et al. (2010)
full mtDNA,Fejervarya cf. cancrivora,Fejervarya cancrivora,Fejervarya cancrivora,,China,"Beihai, Guangxi",mismatch,Kurniawan et al. (2010)
MS-2009 (MS-can-Mal),Fejervarya cf. cancrivora,Fejervarya cancrivora,Fejervarya cancrivora,,Malaysia,Selangor,mismatch,Kotaki et al. (2010)
Jiadong-13,Fejervarya cancrivora,Fejervarya moodiei,Fejervarya moodiei,,China,Jiadong,mismatch,Kotaki et al. (2010)
FCL-16S-1,Fejervarya cancrivora,Fejervarya cancrivora,Fejervarya cancrivora,,Indonesia,"Cianjur, Java",match,Chung et al. (2022)
FCL-16S-2,Fejervarya cancrivora,Fejervarya cancrivora,Fejervarya cancrivora,,Indonesia,"West Sumatra, Padang",match,Chung et al. (2022)
FCL-16S-7,Fejervarya cancrivora,Fejervarya cancrivora,Fejervarya cancrivora,,Indonesia,"Central Java, Banyumas",match,Chung et al. (2022)
IEBR A.5085,Fejervarya moodiei,Fejervarya moodiei,Fejervarya moodiei,,Vietnam,Nam Dinh,match,Chung et al. (2022)
IEBR A.5089,Fejervarya moodiei,Fejervarya moodiei,Fejervarya moodiei,,Vietnam,Nam Dinh,match,Hoang et al. (2022)
IEBR A.5091,Fejervarya moodiei,Fejervarya moodiei,Fejervarya moodiei,,Vietnam,Nam Dinh,match,Hoang et al. (2022)
IEBR A.5097,Fejervarya moodiei,Fejervarya moodiei,Fejervarya moodiei,,Vietnam,Thua Thien Hue,match,Hoang et al. (2022)
IEBR A.5096,Fejervarya moodiei,Fejervarya moodiei,Fejervarya moodiei,,Vietnam,Thua Thien Hue,match,Hoang et al. (2022)
IEBR A.5098,Fejervarya moodiei,Fejervarya moodiei,Fejervarya moodiei,,Vietnam,Hai Phong,match,Hoang et al. (2022)
IEBR A.5099,Fejervarya moodiei,Fejervarya moodiei,Fejervarya moodiei,,Vietnam,Hai Phong,match,Hoang et al. (2022)
IEBR A.5101,Fejervarya moodiei,Fejervarya moodiei,Fejervarya moodiei,,Vietnam,Ca Mau,match,Hoang et al. (2022)
CG9CaMau,Fejervarya moodiei,Fejervarya moodiei,Fejervarya moodiei,,Vietnam,Ca Mau,match,Hoang et al. (2022)
full mtDNA,Hoplobatrachus rugulosus,Hoplobatrachus chinensis,Hoplobatrachus chinensis,,,"Jinhua, Zhejiang",mismatch,Hoang et al. (2022)
full mtDNA,Hoplobatrachus rugulosus,Hoplobatrachus chinensis,Hoplobatrachus chinensis,,,Anhui,mismatch,Yu et al. (2015)
full mtDNA,Hoplobatrachus chinensis x rugulosus,Hoplobatrachus chinensis,Hoplobatrachus chinensis,,China,"Jinhua, Zhejiang",mismatch,Pan et al. (2012)
JHBT-B4,Hoplobatrachus rugulosus,Hoplobatrachus chinensis,Hoplobatrachus chinensis,,China,"the Bendi farm in Jinhua, Zhejiang",mismatch,Cai et al. (2018)
